x;y;S;pcort;pcort_p.value;pcorg;pcorg_p.value;pcore;pcore_p.value;se;sg
1;2;;0.0942822841014619;0.0552592548241157;0.000451847104222859;0.998407718420875;-0.000198821015428539;0.999375286564319;18;22
1;3;;0.570576881033822;3.96605867138352e-37;0.627323336283472;2.85739249210322e-10;0.46075049978331;0.00360168660838676;38;82
2;3;;0.676455432004832;1.08127407845199e-56;0.601848363865723;2.29129358801844e-07;0.736732289335338;7.9853029798824e-13;68;62
3;1;;0.570576881033822;3.96605867138352e-37;0.627323336283472;2.85739249210322e-10;0.46075049978331;0.00360168660838676;38;82
3;2;;0.676455432004832;1.08127407845199e-56;0.601848363865723;2.29129358801844e-07;0.736732289335338;7.9853029798824e-13;68;62
3;1;2;0.69121480720382;4.28208130195706e-60;0.73209442273295;1.509676390508e-19;0.63335995171516;1.97336091190998e-05;38;109
3;2;1;0.761521864865448;1.31561732911028e-79;0.742946787372878;4.71840937450242e-12;0.790377921757706;1.05522595697787e-18;82;62
1;2;;0.0942822841014619;0.0552592548241157;0.000451847104222859;0.998407718420875;-0.000198821015428539;0.999375286564319;18;22
1;2;3;-0.483576839042935;1.18969722365526e-25;-0.550482966511295;1.15390055873e-06;-0.475956492801494;0.00144293863927992;42;68
1;2;;0.0942822841014619;0.0552592548241157;0.000451847104222859;0.998407718420875;-0.000198821015428539;0.999375286564319;18;22
1;2;3;-0.483576839042935;1.18969722365526e-25;-0.550482966511295;1.15390055873e-06;-0.475956492801494;0.00144293863927992;42;68
